time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1638208978,2021-11-29,13309490267,302500000000,13%,349000000000,10,1,normal,0,7
1638213277,2021-11-29,13309490267,302500000000,13%,349000000000,12,1,normal,0,7
1638271059,2021-11-30,13309490267,302500000000,13%,349000000000,10,1,normal,0,7
1638207599,2021-11-30,5873954476,2659000000000,8%,2899000000000,26,221,normal,630,4278
1638210338,2021-11-29,25873954476,2659000000000,8%,2899000000000,26,221,normal,630,4279
1638213274,2021-11-29,25873954476,2659000000000,8%,2899000000000,26,221,normal,630,4280
1638220530,2021-11-29,25873954476,2659000000000,8%,2899000000000,26,221,normal,630,4281
1638237224,2021-11-30,25873954476,2659000000000,8%,2899000000000,25,221,normal,630,4282
1638238827,2021-11-30,25873954476,2659000000000,8%,2899000000000,25,221,normal,630,4284
1638242119,2021-11-30,25873954476,2659000000000,8%,2899000000000,25,221,normal,630,4286
1638245972,2021-11-30,25873954476,2659000000000,8%,2899000000000,25,221,normal,631,4288
1638253056,2021-11-30,25873954476,2659000000000,8%,2899000000000,51,221,normal,631,4290
1638256456,2021-11-30,25873954476,2659000000000,8%,2899000000000,51,221,normal,631,4292
1638260286,2021-11-30,25873954476,2659000000000,8%,2899000000000,53,221,normal,632,4292
1638263706,2021-11-30,25873954476,2659000000000,8%,2899000000000,55,221,normal,632,4293
1638267432,2021-11-30,25873954476,2659000000000,8%,2899000000000,55,221,normal,632,4295
1638273449,2021-11-30,5873954476,2659000000000,8%,2899000000000,55,221,normal,633,4296
1638208751,2021-11-29,10664696259,281000000000,30%,402000000000,1,0,normal,0,0
